.venv/ : 312.43 MB, 7932 files
campusouting/ : 166.27 MB, 12407 files
.git/ : 121.51 MB, 2635 files
node_modules/ : 40.54 MB, 4856 files
form_filler/ : 12.23 MB, 123 files
logs_v5_py/ : 2.58 MB, 748 files
logs_v4_py/ : 2.54 MB, 742 files
logs_debug/ : 1.64 MB, 470 files
logs_v7_py_extracted/ : 1.31 MB, 405 files
extracted_logs_tar/ : 1.27 MB, 389 files
logs_v3_ext/ : 1.23 MB, 332 files
logs_debug_v15/ : 1.14 MB, 174 files
logs_debug_v14/ : 1.13 MB, 173 files
logs_debug_v13/ : 1.12 MB, 170 files
logs_final/ : 1.09 MB, 169 files
latest_logs/ : 1.06 MB, 337 files
logs_debug_v12/ : 1.03 MB, 162 files
logs_debug_v11/ : 1.01 MB, 156 files
logs_debug_v10/ : 0.96 MB, 144 files
logs_debug_v9/ : 0.94 MB, 141 files
azure_logs_extracted/ : 0.93 MB, 317 files
logs_debug_v8/ : 0.64 MB, 130 files
logs_debug_v7/ : 0.54 MB, 124 files
logs_debug_v6/ : 0.51 MB, 118 files
logs_debug_final_v5/ : 0.46 MB, 112 files
logs_debug_final_v4/ : 0.46 MB, 111 files
logs_debug_final_v3/ : 0.40 MB, 102 files
logs_debug_final_v2/ : 0.36 MB, 93 files
logs_debug_final/ : 0.30 MB, 84 files
logs_hang/ : 0.18 MB, 64 files
logs_deploy/ : 0.09 MB, 33 files
logs_reset/ : 0.08 MB, 26 files
logs_startup/ : 0.08 MB, 23 files
signatures/ : 0.05 MB, 3 files
scripts/ : 0.04 MB, 20 files
mail_agent/ : 0.03 MB, 12 files
database/ : 0.02 MB, 3 files
temp_uploads/ : 0.01 MB, 2 files
.github/ : 0.00 MB, 3 files
docs/ : 0.00 MB, 2 files
migrations/ : 0.00 MB, 1 files
.vscode/ : 0.00 MB, 2 files
.claude/ : 0.00 MB, 1 files
